item_name2,month,year,price,increase
"Bananas  
Units: $ per LB",1,2020,0.57,0
"Bananas  
Units: $ per LB",2,2020,0.574,1
"Bananas  
Units: $ per LB",3,2020,0.576,1
"Bananas  
Units: $ per LB",4,2020,0.581,1
"Bananas  
Units: $ per LB",5,2020,0.589,1
"Bananas  
Units: $ per LB",6,2020,0.588,0
"Bananas  
Units: $ per LB",7,2020,0.58,0
"Bananas  
Units: $ per LB",8,2020,0.576,0
"Bananas  
Units: $ per LB",9,2020,0.574,0
"Bananas  
Units: $ per LB",10,2020,0.577,1
"Bananas  
Units: $ per LB",11,2020,0.578,1
"Bananas  
Units: $ per LB",12,2020,0.572,0
"Bananas  
Units: $ per LB",1,2021,0.597,1
"Bananas  
Units: $ per LB",2,2021,0.59,0
"Bananas  
Units: $ per LB",3,2021,0.594,0
"Bananas  
Units: $ per LB",4,2021,0.604,1
"Bananas  
Units: $ per LB",5,2021,0.6,0
"Bananas  
Units: $ per LB",6,2021,0.595,0
"Bananas  
Units: $ per LB",7,2021,0.594,0
"Bananas  
Units: $ per LB",8,2021,0.589,0
"Bananas  
Units: $ per LB",9,2021,0.597,1
"Bananas  
Units: $ per LB",10,2021,0.6,1
"Bananas  
Units: $ per LB",11,2021,0.619,1
"Bananas  
Units: $ per LB",12,2021,0.622,1
"Bananas  
Units: $ per LB",1,2022,0.63,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
