item_name2,month,year,price,increase,,
"Orange juice  
Units: $ per 16 oz",1,2020,2.321,0,,
"Orange juice  
Units: $ per 16 oz",2,2020,2.319,0,,
"Orange juice  
Units: $ per 16 oz",3,2020,2.277,0,,
"Orange juice  
Units: $ per 16 oz",4,2020,2.398,1,,
"Orange juice  
Units: $ per 16 oz",5,2020,2.375,0,,
"Orange juice  
Units: $ per 16 oz",6,2020,2.36,0,,
"Orange juice  
Units: $ per 16 oz",7,2020,2.339,1,,
"Orange juice  
Units: $ per 16 oz",8,2020,2.339,0,,
"Orange juice  
Units: $ per 16 oz",9,2020,2.257,0,,
"Orange juice  
Units: $ per 16 oz",10,2020,2.307,1,,
"Orange juice  
Units: $ per 16 oz",11,2020,2.285,0,,
"Orange juice  
Units: $ per 16 oz",12,2020,2.333,1,,
"Orange juice  
Units: $ per 16 oz",1,2021,2.341,1,,
"Orange juice  
Units: $ per 16 oz",2,2021,2.359,1,,
"Orange juice  
Units: $ per 16 oz",3,2021,2.285,0,,
"Orange juice  
Units: $ per 16 oz",4,2021,2.364,1,,
"Orange juice  
Units: $ per 16 oz",5,2021,2.387,1,,
"Orange juice  
Units: $ per 16 oz",6,2021,2.594,1,,
"Orange juice  
Units: $ per 16 oz",7,2021,2.612,1,,
"Orange juice  
Units: $ per 16 oz",8,2021,2.58,0,,
"Orange juice  
Units: $ per 16 oz",9,2021,2.544,0,,
"Orange juice  
Units: $ per 16 oz",10,2021,2.631,1,,
"Orange juice  
Units: $ per 16 oz",11,2021,2.651,1,,
"Orange juice  
Units: $ per 16 oz",12,2021,2.654,1,,
"Orange juice  
Units: $ per 16 oz",1,2022,2.621,0,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
