item_name2,month,year,price,increase
"Potato chips  
Units: $ per 16 oz",1,2020,4.494,0
"Potato chips  
Units: $ per 16 oz",2,2020,4.594,1
"Potato chips  
Units: $ per 16 oz",3,2020,4.63,1
"Potato chips  
Units: $ per 16 oz",4,2020,4.88,1
"Potato chips  
Units: $ per 16 oz",5,2020,4.985,1
"Potato chips  
Units: $ per 16 oz",6,2020,5.087,1
"Potato chips  
Units: $ per 16 oz",7,2020,5.104,1
"Potato chips  
Units: $ per 16 oz",8,2020,5.07,0
"Potato chips  
Units: $ per 16 oz",9,2020,5.024,0
"Potato chips  
Units: $ per 16 oz",10,2020,5.039,1
"Potato chips  
Units: $ per 16 oz",11,2020,5.085,1
"Potato chips  
Units: $ per 16 oz",12,2020,5.077,0
"Potato chips  
Units: $ per 16 oz",1,2021,4.942,0
"Potato chips  
Units: $ per 16 oz",2,2021,5.046,1
"Potato chips  
Units: $ per 16 oz",3,2021,5.043,0
"Potato chips  
Units: $ per 16 oz",4,2021,5.092,1
"Potato chips  
Units: $ per 16 oz",5,2021,4.929,0
"Potato chips  
Units: $ per 16 oz",6,2021,5.02,1
"Potato chips  
Units: $ per 16 oz",7,2021,5.003,0
"Potato chips  
Units: $ per 16 oz",8,2021,5.111,1
"Potato chips  
Units: $ per 16 oz",9,2021,5.058,0
"Potato chips  
Units: $ per 16 oz",10,2021,5.273,1
"Potato chips  
Units: $ per 16 oz",11,2021,5.246,0
"Potato chips  
Units: $ per 16 oz",12,2021,5.15,0
"Potato chips  
Units: $ per 16 oz",1,2022,5.258,1
